Component	kappa	rho	variance explained	normalized variance explained	countsigFT2	countsigFS0	dice_FT2	dice_FS0	countnoise	signal-noise_t	signal-noise_p	d_table_score	optimal sign	estimated normalized variance explained	classification	rationale
PCA_00	47.50858975235609	19.105318342789186	44.89015664600057	19.653830330463855	12350	3890	0.531512691187928	0.22645099904852523	3246	0.0	0.0	5.4	1	48.00962511878931	accepted	n/a
PCA_01	57.858159388237105	25.846907887404928	10.887457067659549	6.524088826192627	11587	4705	0.5417076441662941	0.2780189204229271	3246	0.0	0.0	5.2	1	15.801214160554473	accepted	n/a
PCA_02	34.91544409861399	25.61164089985167	13.5480320994236	2.417781794085406	1674	935	0.45588235294117646	0.25994397759103643	2594	1.992796037240695	0.046561070979833204	5.4	-1	5.848524897266701	accepted	n/a
PCA_03	33.04084448644998	23.450193741852217	12.410230162120337	2.368096479140094	1588	726	0.44724919093851134	0.17725258493353027	2662	7.461135687153455	2.2403223188863564e-13	5.0	1	5.730088175580111	accepted	n/a
PCA_04	39.123558904443236	23.005821042331565	3.026719184230901	1.7452438745891752	5163	1927	0.503269887750122	0.1637179825719567	3246	0.0	0.0	6.4	1	4.2221942197886015	accepted	n/a
PCA_05	46.80723773816229	12.797993854982243	1.5647723859477924	1.2046840098721128	3532	105	0.4268169339690796	0.0	1929	11.594894957729464	2.249091127460501e-30	3.4	-1	3.068571918549928	accepted	n/a
PCA_06	36.060716387770896	17.42645898646447	2.479828195453797	1.1650160239907141	3539	1164	0.4386271087841768	0.15862068965517243	2737	4.878862995684792	1.3294840325935599e-06	4.6	1	2.995402322861525	accepted	n/a
PCA_07	32.54236970027213	21.367114275752357	2.2669975252910177	1.0469844529702943	2855	1625	0.3501241575026605	0.1641185647425897	3126	4.188771526222892	5.6273544097287205e-05	7.2	1	2.5527279721393312	accepted	n/a
PCA_08	27.178158134020734	22.426267432194965	1.6226595328008637	0.8736382472453303	2690	1955	0.39385206532180594	0.2734034367786612	2987	5.269764336824637	2.609511133091937e-07	6.8	-1	2.1412425260490053	accepted	n/a
PCA_09	22.562026375355444	13.982552107941284	1.1143340843209626	0.844578256203702	1062	177	0.16203259827420902	0.0	3167	3.2192775198260435	0.0018387080434463692	9.6	-1	2.0498847611573097	accepted	n/a
PCA_10	33.4498639314015	12.668838878673238	1.0282266040563683	0.7100006700811146	3829	274	0.4445029624753127	0.0	2675	3.9714499665245198	7.79187884627603e-05	4.8	-1	1.980543471863359	accepted	n/a
PCA_11	20.079865883777284	12.628503455341436	1.2433860123563563	0.6177729408464527	760	82	0.295364238410596	0.0	3246	0.0	0.0	11.8	-1	1.494462912429379	accepted	n/a
PCA_12	14.811293934340023	13.534233626351467	1.5689306574058803	0.5769919983450374	335	0	0.49382716049382713	0.0	3207	3.3169881834972466	0.0019832589200032007	9.2	-1	1.3956693188633005	accepted	n/a
PCA_13	15.597531357557763	13.90128613928475	1.6400587742656487	0.5731429452880918	302	49	0.4317789291882556	0.0	3246	0.0	0.0	12.0	1	1.3863373273954145	accepted	n/a
PCA_14	19.739339606099357	11.080434444707908	0.7082110686663391	0.5462376485593434	404	0	0.0	0.0	3182	1.1581193234196991	0.2510082945485563	11.2	-1	1.3235108967122855	accepted	n/a
